,user,text
0,GooglingBioinfo,@KimmyKy2 I do the Science with the Data. Aren’t all STEM majors Data Scientists?
1,cherhan,@KimmyKy2 IT and Database!
2,jack_davis_sfu,"@KimmyKy2 Mathematics major, 

Unofficial physics and english minors. (Enough credits but never declared.)"
3,ev_bjork,@KimmyKy2 Physics.
4,ChelseaParlett,@KimmyKy2 @psychologyih Psychology
5,McgeeNorrick,"@KimmyKy2 Math 🤓🤓🤓🤓🤓🤓🤓🤓🤓
But I started out in Electrical Engineering just because if you love math, then you gotta… https://t.co/DsAKl27KTM"
6,unironictweeter,@KimmyKy2 Econ/Stats
7,unnamed101,"@KimmyKy2 Physics, High Performance Computing in the school of Mathematics"
8,sarah_romanes,@KimmyKy2 @nj_tierney Mathematics and Statistics
9,NickDoesData,@KimmyKy2 Accounting! (What was I thinking?!)
10,Verynace,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
11,olumidebenjami4,@KimmyKy2 Mathematics and Statistics
12,ecsalomon,@KimmyKy2 English
13,jimmyczech,"@KimmyKy2 Electrical Engineering, Applied and Computational Math.  People want to call me data scientist but I resist that label."
14,psychologyih,@KimmyKy2 Psychology (ended up getting MS and PhD too) and Economics
15,psychologyih,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
16,Breza,@KimmyKy2 Human Services
17,taylorterry,@KimmyKy2 Social Studies
18,SuusJC,"@KimmyKy2 Originally, Theoretical Physics. Then an MSc in geophysical fluid Dynamics, under the Applied Maths banne… https://t.co/ZdtBQubvQk"
19,healthstatsdude,"@ChristianNolan @KJoyPayton @KimmyKy2 whatever brings in the most utility is gonna be a virtue! 😁 

(i should proba… https://t.co/jcWAIlSfnr"
20,AmberRaeToro,@KimmyKy2 Digital Marketing Analyst here my major is Computer Science
21,ChristianNolan,@healthstatsdude @KJoyPayton @KimmyKy2 Oh I’m no Stats Philosopher! But I think I use Philosophy more than anything… https://t.co/fBaqAI1ZAF
