,user,text,clean_response,clean_response_2,clean_response_3
0,pF1G__xG3w0z9qe,@KimmyKy2 @WeAreRLadies fwrite is bae,,,
1,Sanjay_C_Nagi,@KimmyKy2 @WeAreRLadies Fwrite and fread are a dream,,,
2,FedeBarabas,@KimmyKy2 Physics,Physics,,
3,hxchuaruns,"@KimmyKy2 BSc: Statistics, Management
MSc: Business Analytics",Statistics,Management,
4,realauggiehesch,@KimmyKy2 Filmmaking,Filmmaking,,
5,Nonyeoe,"@KimmyKy2 Undergrad: Economics
Grad: Energy",Economics,,
6,kishornaik011,@KimmyKy2 Computer science..,Computer Science,,
7,helenanders26,@KimmyKy2 International Business,Business,,
8,ekoner,"@KimmyKy2 Computing with business, followed by an MSc in business intelligence",Computing with business,,
9,AlanHylands,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
10,AlanHylands,@KimmyKy2 Accounting,Accounting,,
11,DataDiva,@KimmyKy2 Sociology + Social Anthropology,Sociology,Anthropology,
12,Osovich,"@KimmyKy2 Physics and Mathematics
1/2 master's in modeling and simulation",Physics,Math,
13,data_stephanie,"@KimmyKy2 Also, minor in Art History, MA in Sociology (quantitative), and MA in Education",,,
14,data_stephanie,@KimmyKy2 Sociology + European Studies,Sociology,European Studies,
15,statwonk,@KimmyKy2 Economics with a focus in econometrics + statistics. 🔥 I'd highly recommend a statistics degree to aspiring data scientists.,Economics,Statistics,
16,AndrewHornstra,"@KimmyKy2 Haven't started yet, but physics and mathematics.",Physics,Math,
17,EngelhardtCR,@KimmyKy2 Psychology,Psychology,,
18,archneura,@KimmyKy2 @ClairAIA is an Architect becoming a data scientist.,Architecture,,
19,lisalendway,@KimmyKy2 How do I join?,,,
20,GotDisk,"@KimmyKy2 Undergrad physics, masters econ, lots of continuing education",Physics,,
21,wimlds,RT @KimmyKy2: I am super duper excited to finally have a local #WiMLDS chapter here in the twin cities. I can’t wait to see the community w…,,,
22,tgb417,"@KimmyKy2 #DataScience As an Undergraduate a self-designed degree in the use of technology in the Arts, a Masters i… https://t.co/of5cSyqnla",Data Science,,
23,Aggie_James03,@KimmyKy2 Psychology,Psychology,,
24,jreileyclark,"@KimmyKy2 B.S Math Econ, M.S Petroleum Engineering",Math,Economics,
25,QuixoticQuant,@KimmyKy2 Physics and Theoretical Physics,Physics,,
26,aljrico,@KimmyKy2 Physics,Physics,,
27,seisvelas,"@KimmyKy2 I don't have a formal education, I self-taught linux systems administration, moved into programming in Py… https://t.co/LUON80UTf3",Systems Administration,,
28,amandabree36,"@KimmyKy2 BS: health and rehabilitation sciences, Masters: epidemiology",Health Science,,
29,lucaofusao,@KimmyKy2 Mechanical engineering,Engineering,,
30,Randy_Au,@KimmyKy2 Business administration and philosophy,Business,Philosophy,
31,ozeanforscher,"RT @j_pye: @KimmyKy2 @mdsumner Computer science. First job was in oceanography, though.",Computer Science,,
32,_casey_bates,@KimmyKy2 Geography,Geography,,
33,KJoyPayton,@healthstatsdude @KimmyKy2 I totally think that philosophy is better than comp sci for making good programmers.  Fi… https://t.co/hnBKUWUgq0,,,
34,astrogenomics,@KimmyKy2 @DrCompBio Agricultural sciences,Agriculture,,
35,astrogenomics,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
36,pikruz,@KimmyKy2 A friend of mine is studying data science. He's a biochemical engineer.,Engineering,,
37,phillynerd,@KimmyKy2 Sociology and honors liberal arts,Sociology,,
38,VizMonkey,@KimmyKy2 Environmental engineering,Engineering,,
39,DrCompBio,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
40,theory_of_nano,"@KimmyKy2 chemistry undergrad, now halfway through masters in data analytics",Chemistry,,
41,theporra,@KimmyKy2 Computer Science and Informatics,Computer Science,IT,
42,angelanovari,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
43,allg00d,@KimmyKy2 Cosmology/Astrophysics,Physics,,
44,psycaroly,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
45,IgorBrigadir,@KimmyKy2 Network Communications,Network Communications,,
46,mma999,@KimmyKy2 Philosophy and Politics originally with Economics too but only Y1,Philosophy,Political Science,
47,JustPeachie05,"@KimmyKy2 BS in Evolutionary Ecology, minor Social Psychology, MS Conservation Medicine (One Health / stakeholder a… https://t.co/TOAwGNCqwO",Ecology,,
48,mts4955,@KimmyKy2 Statistics,Statistics,,
49,missdrivanova,@KimmyKy2 Maths and stats,Math,Statistics,
50,nletcher,"@KimmyKy2 Computer science, linguistics, and philosophy",Computer Science,Linguistics,Philosophy
51,SSanchezColon,@KimmyKy2 Plant ecology,Ecology,,
52,alliemchoate,@KimmyKy2 Not sure if I qualify for the full title of “data analyst” per se... but I was a psych major in undergrad… https://t.co/LVE15vPkd9,Psychology,,
53,Branson_Fox,@KimmyKy2 Sociology,Sociology,,
54,GooglingBioinfo,@KimmyKy2 I do the Science with the Data. Aren’t all STEM majors Data Scientists?,,,
55,cherhan,@KimmyKy2 IT and Database!,IT,,
56,jack_davis_sfu,"@KimmyKy2 Mathematics major, 

Unofficial physics and english minors. (Enough credits but never declared.)",Math,,
57,ev_bjork,@KimmyKy2 Physics.,Physics,,
